,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
257952,tt5198068,movie,Wolfwalkers,WolfWalkers,0,2020,\N,103,"Action,Adventure,Animation",0.8,35704,0.706748483336989,5.653987866695912
127000,tt0397892,movie,Bolt,Bolt,0,2008,\N,96,"Adventure,Animation,Comedy",0.6799999999999999,220391,0.8294594762159435,5.640324438268416
64573,tt0118617,movie,Anastasia,Anastasia,0,1997,\N,94,"Adventure,Animation,Drama",0.71,130316,0.7940350774946522,5.63764905021203
125837,tt0388473,movie,Tokyo Godfathers,Tôkyô goddofâzâzu,0,2003,\N,92,"Adventure,Animation,Comedy",0.78,43497,0.7200588504356928,5.616459033398405
271085,tt6467266,movie,Sing 2,Sing 2,0,2021,\N,110,"Adventure,Animation,Comedy",0.74,76764,0.7583554651114488,5.611830441824721
136120,tt0472033,movie,9,9,0,2009,\N,79,"Action,Adventure,Animation",0.7,143718,0.8006347186922584,5.604443030845808
283616,tt8097030,movie,Turning Red,Turning Red,0,2022,\N,100,"Adventure,Animation,Comedy",0.7,137018,0.7974161134125723,5.581912793888007
44990,tt0082406,movie,The Fox and the Hound,The Fox and the Hound,0,1981,\N,83,"Adventure,Animation,Drama",0.72,97836,0.7747082625265146,5.577899490190905
167400,tt1277953,movie,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,0,2012,\N,95,"Adventure,Animation,Comedy",0.6799999999999999,190093,0.8194889789079955,5.572525056574369
146024,tt0983213,movie,5 Centimeters per Second,Byôsoku 5 senchimêtoru,0,2007,\N,63,"Animation,Drama,Family",0.75,61127,0.7429987555350531,5.572490666512898
59408,tt0107692,movie,Ninja Scroll,Jûbê ninpûchô,0,1993,\N,94,"Action,Adventure,Animation",0.78,39122,0.7129120261571046,5.560713804025416
34229,tt0065421,movie,The Aristocats,The AristoCats,0,1970,\N,78,"Adventure,Animation,Comedy",0.71,109789,0.7824794307571933,5.5556039583760715
250835,tt4520988,movie,Frozen II,Frozen II,0,2019,\N,103,"Adventure,Animation,Comedy",0.6799999999999999,183040,0.8169399749840561,5.555191829891582
237510,tt3398268,movie,When Marnie Was There,Omoide no Marnie,0,2014,\N,103,"Animation,Drama,Family",0.77,44161,0.7210802446124979,5.552317883516233
28960,tt0057546,movie,The Sword in the Stone,The Sword in the Stone,0,1963,\N,79,"Adventure,Animation,Comedy",0.71,102552,0.7778821449495057,5.52296322914149
221805,tt2401878,movie,Anomalisa,Anomalisa,0,2015,\N,90,"Animation,Comedy,Drama",0.73,73820,0.7557189949090284,5.516748662835908
137114,tt0479952,movie,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,0,2008,\N,89,"Adventure,Animation,Comedy",0.6599999999999999,237806,0.8345867799163236,5.508272747447735
62552,tt0114148,movie,Pocahontas,Pocahontas,0,1995,\N,81,"Adventure,Animation,Drama",0.67,195477,0.8213719280689434,5.503191918061922
127899,tt0405296,movie,A Scanner Darkly,A Scanner Darkly,0,2006,\N,100,"Animation,Comedy,Crime",0.7,114791,0.7854831060919599,5.498381742643719
118638,tt0345950,movie,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,0,2004,\N,87,"Adventure,Animation,Comedy",0.71,97102,0.7742005590288279,5.496823969104678
78212,tt0166813,movie,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,0,2002,\N,83,"Adventure,Animation,Drama",0.72,81109,0.7620673983683015,5.486885268251771
117521,tt0338348,movie,The Polar Express,The Polar Express,0,2004,\N,100,"Adventure,Animation,Comedy",0.6599999999999999,223747,0.8304783510476477,5.481157116914473
115818,tt0327084,movie,Over the Hedge,Over the Hedge,0,2006,\N,83,"Adventure,Animation,Comedy",0.67,183542,0.8171246216207144,5.474734964858787
94323,tt0230011,movie,Atlantis: The Lost Empire,Atlantis: The Lost Empire,0,2001,\N,95,"Action,Adventure,Animation",0.6900000000000001,127374,0.7924956029145122,5.468219660110134
192212,tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,"Adventure,Animation,Comedy",0.7,106385,0.7803560369774618,5.462492258842232
291889,tt9426210,movie,Weathering with You,Tenki no ko,0,2019,\N,112,"Animation,Drama,Fantasy",0.75,49049,0.7281576784990712,5.461182588743034
133579,tt0451079,movie,Horton Hears a Who!,Horton Hears a Who!,0,2008,\N,86,"Adventure,Animation,Comedy",0.6799999999999999,146130,0.8017568032088217,5.4519462618199865
216835,tt2262227,movie,The Book of Life,The Book of Life,0,2014,\N,95,"Adventure,Animation,Comedy",0.72,74590,0.7564185791310214,5.446213769743355
