,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
165871,Road to Hell,0,2008,87,"Action,Fantasy,Musical",2.4880218949670048
37785,Slaughter's Big Rip-Off,0,1973,94,"Action,Crime,Drama",2.4874398839272467
287425,Mikhael,0,2019,150,"Action,Thriller",2.487405248943557
186547,Diabolik: Ginko Attacks,0,2022,116,"Action,Crime",2.487366269168648
226421,Badges of Fury,0,2013,98,"Action,Comedy,Crime",2.4872841342395526
38154,Chosen Survivors,0,1974,99,"Action,Adventure,Drama",2.4872372837714036
188406,Six Shooters,0,2010,100,"Action,Adventure,Drama",2.487120010880516
20762,Sea Devils,0,1953,91,"Action,Adventure,Drama",2.487084299851343
107981,A Matter of Time,0,2000,\N,"Action,Crime",2.485987088425218
182338,Southern Fists - The Rise of Heroes (2020),0,2020,104,"Action,Adventure",2.485979917533684
61195,Showdown,0,1993,98,Action,2.4859011734917367
186662,The Road from Elephant Pass,0,2010,120,"Action,Romance,War",2.4852913971393273
256203,Comic 8: Casino Kings Part 1,0,2015,104,"Action,Adventure,Comedy",2.485046928926593
